Sensor_ID,Entity_ID,Sensor_Type_Threshold_,Sensor_Reading,Status,Lower_Non_Recoverable,Lower_Critical,Lower_Non_Critical,Upper_Non_Critical,Upper_Critical,Upper_Non_Recoverable,Positive_Hysteresis,Negative_Hysteresis,Assertion_Events,Assertions_Enabled,Time_elapsed
Total Power,215.0,5.68454,Unknown,5.68454,301,5.68454,ok,5.68454,0.000,5.68454,0.000,5.68454,0.000,5.68454,1785.000,5.68454,1785.000,5.68454,1785.000,5.68454,Unspecified,5.68454,Unspecified,5.68454,,5.68454,,5.68454
Total Power,215.0,5.98140,Unknown,5.98140,301,5.98140,ok,5.98140,0.000,5.98140,0.000,5.98140,0.000,5.98140,1785.000,5.98140,1785.000,5.98140,1785.000,5.98140,Unspecified,5.98140,Unspecified,5.98140,,5.98140,,5.98140
Total Power,215.0,6.25794,Unknown,6.25794,301,6.25794,ok,6.25794,0.000,6.25794,0.000,6.25794,0.000,6.25794,1785.000,6.25794,1785.000,6.25794,1785.000,6.25794,Unspecified,6.25794,Unspecified,6.25794,,6.25794,,6.25794
Total Power,215.0,6.53348,Unknown,6.53348,301,6.53348,ok,6.53348,0.000,6.53348,0.000,6.53348,0.000,6.53348,1785.000,6.53348,1785.000,6.53348,1785.000,6.53348,Unspecified,6.53348,Unspecified,6.53348,,6.53348,,6.53348
Total Power,215.0,6.82304,Unknown,6.82304,301,6.82304,ok,6.82304,0.000,6.82304,0.000,6.82304,0.000,6.82304,1785.000,6.82304,1785.000,6.82304,1785.000,6.82304,Unspecified,6.82304,Unspecified,6.82304,,6.82304,,6.82304
Total Power,215.0,7.33407,Unknown,7.33407,301,7.33407,ok,7.33407,0.000,7.33407,0.000,7.33407,0.000,7.33407,1785.000,7.33407,1785.000,7.33407,1785.000,7.33407,Unspecified,7.33407,Unspecified,7.33407,,7.33407,,7.33407
Total Power,215.0,7.61522,Unknown,7.61522,259,7.61522,ok,7.61522,0.000,7.61522,0.000,7.61522,0.000,7.61522,1785.000,7.61522,1785.000,7.61522,1785.000,7.61522,Unspecified,7.61522,Unspecified,7.61522,,7.61522,,7.61522
Total Power,215.0,7.84746,Unknown,7.84746,259,7.84746,ok,7.84746,0.000,7.84746,0.000,7.84746,0.000,7.84746,1785.000,7.84746,1785.000,7.84746,1785.000,7.84746,Unspecified,7.84746,Unspecified,7.84746,,7.84746,,7.84746
Total Power,215.0,8.07013,Unknown,8.07013,259,8.07013,ok,8.07013,0.000,8.07013,0.000,8.07013,0.000,8.07013,1785.000,8.07013,1785.000,8.07013,1785.000,8.07013,Unspecified,8.07013,Unspecified,8.07013,,8.07013,,8.07013
Total Power,215.0,8.30252,Unknown,8.30252,259,8.30252,ok,8.30252,0.000,8.30252,0.000,8.30252,0.000,8.30252,1785.000,8.30252,1785.000,8.30252,1785.000,8.30252,Unspecified,8.30252,Unspecified,8.30252,,8.30252,,8.30252
